Date,Open,High,Low,Close,Adj Close,Volume
2018-02-20,86.589996,87.379997,86.410004,86.879997,83.162384,49100
2018-02-21,86.250000,86.980003,85.830002,85.830002,82.157318,37200
2018-02-22,85.919998,86.449997,85.529999,86.250000,82.559349,13800
2018-02-23,86.580002,89.980003,86.400002,88.059998,84.291893,44400
2018-02-26,86.419998,86.930000,86.080002,86.800003,83.085815,42500
2018-02-27,86.459999,87.050003,85.669998,86.160004,82.473206,22700
2018-02-28,86.370003,86.570000,85.680000,85.800003,82.128609,22200
2018-03-01,84.550003,84.570000,83.190002,83.970001,80.376907,53200
2018-03-02,83.129997,83.910004,82.680000,83.910004,80.319481,32800
2018-03-05,81.989998,83.739998,81.900002,83.709999,80.128036,37300
2018-03-06,84.489998,84.559998,83.760002,83.809998,80.223755,72700
2018-03-07,83.330002,84.610001,83.260002,84.279999,80.673645,57200
2018-03-08,83.660004,83.860001,83.260002,83.300003,79.735580,24800
2018-03-09,83.599998,83.970001,83.410004,83.589996,80.013168,24500
2018-03-12,83.940002,84.410004,83.839996,84.190002,80.587494,21500
2018-03-13,84.989998,84.989998,83.209999,83.260002,79.697289,55000
2018-03-14,84.129997,84.129997,83.010002,83.410004,79.840874,19000
2018-03-15,83.690002,84.279999,83.220001,83.919998,80.329048,30700
2018-03-16,84.699997,85.230003,84.690002,85.099998,81.458557,45300
2018-03-19,85.050003,85.089996,84.190002,84.800003,81.171394,28000
2018-03-20,83.720001,84.400002,83.720001,84.360001,80.750221,30900
2018-03-21,84.040001,84.599998,83.930000,84.260002,80.654503,27800
2018-03-22,82.820000,82.870003,81.750000,81.900002,78.395485,84900
2018-03-23,82.820000,82.820000,80.500000,81.000000,77.533997,29900
2018-03-26,82.680000,82.980003,81.269997,82.400002,78.874092,45700
2018-03-27,82.910004,82.910004,81.500000,81.559998,78.070030,76400
2018-03-28,81.500000,82.379997,81.000000,81.580002,78.089180,43200
2018-03-29,84.279999,85.389999,84.269997,84.830002,81.200111,36800
2018-04-02,84.699997,85.000000,82.760002,83.150002,79.591995,32700
2018-04-03,84.379997,85.010002,83.879997,84.430000,80.817223,33700
2018-04-04,83.459999,84.820000,83.260002,84.559998,80.941658,26000
2018-04-05,84.739998,85.430000,84.550003,85.300003,81.650002,32400
2018-04-06,80.230003,80.779999,79.699997,79.800003,79.800003,124200
2018-04-09,79.980003,80.540001,79.540001,79.699997,79.699997,32800
2018-04-10,81.489998,81.790001,81.000000,81.019997,81.019997,53500
2018-04-11,81.309998,81.309998,80.550003,80.650002,80.650002,44100
2018-04-12,80.400002,80.699997,80.230003,80.610001,80.610001,28800
2018-04-13,81.550003,81.629997,80.589996,81.089996,81.089996,19800
2018-04-16,81.209999,81.209999,80.699997,80.989998,80.989998,18700
2018-04-17,81.309998,81.750000,80.750000,80.800003,80.800003,54400
2018-04-18,80.519997,80.849998,80.440002,80.510002,80.510002,39500
2018-04-19,80.529999,80.620003,80.019997,80.290001,80.290001,16100
2018-04-20,79.949997,80.089996,79.669998,79.949997,79.949997,22700
2018-04-23,79.629997,80.099998,79.440002,79.760002,79.760002,26900
2018-04-24,79.269997,79.709999,78.599998,78.800003,78.800003,60800
2018-04-25,78.500000,79.300003,78.260002,79.070000,79.070000,55600
2018-04-26,78.879997,79.089996,78.360001,79.010002,79.010002,16800
2018-04-27,79.220001,79.720001,78.849998,79.580002,79.580002,19500
2018-04-30,78.589996,79.050003,78.589996,78.739998,78.739998,31900
2018-05-01,78.309998,78.699997,77.900002,78.279999,78.279999,23800
2018-05-02,80.160004,80.190002,79.010002,79.010002,79.010002,53100
2018-05-03,79.400002,79.900002,79.120003,79.730003,79.730003,22800
2018-05-04,78.730003,79.709999,78.730003,79.300003,79.300003,16600
2018-05-07,79.610001,79.989998,79.400002,79.599998,79.599998,31300
2018-05-08,79.099998,79.510002,79.070000,79.500000,79.500000,31700
2018-05-09,79.500000,79.860001,79.419998,79.669998,79.669998,28000
2018-05-10,79.790001,80.209999,79.639999,80.209999,80.209999,28500
2018-05-11,80.010002,80.180000,79.839996,79.919998,79.919998,11800
2018-05-14,79.690002,80.089996,79.599998,79.620003,79.620003,15600
2018-05-15,79.059998,79.720001,78.970001,79.480003,79.480003,14600
2018-05-16,78.980003,79.220001,78.610001,78.820000,78.820000,24800
2018-05-17,79.610001,80.120003,79.489998,79.720001,79.720001,17200
2018-05-18,79.360001,79.599998,79.199997,79.260002,79.260002,12000
2018-05-21,80.000000,80.599998,79.519997,80.150002,80.150002,36800
2018-05-22,80.779999,80.970001,80.209999,80.500000,80.500000,28000
2018-05-23,78.709999,78.760002,78.029999,78.750000,78.750000,21900
2018-05-24,76.330002,77.000000,75.839996,77.000000,77.000000,79800
2018-05-25,75.489998,76.029999,75.199997,76.019997,76.019997,39600
2018-05-29,72.440002,73.510002,72.379997,72.860001,72.860001,102900
2018-05-30,72.500000,73.709999,72.360001,73.459999,73.459999,43700
